tape,total_station
0.07,100.62271229
0.08,100.61264076
0.09000000000000001,100.60256923
0.1,100.5924977
0.11000000000000001,100.58242617
0.12000000000000001,100.57235464
0.13,100.56228311
0.14,100.55221158
0.15000000000000002,100.54214005
0.16,100.53206852
0.17,100.52199699
0.18,100.51192546
0.19,100.50185393
0.2,100.4917824
0.21000000000000002,100.48171087
0.22,100.47163934
0.23,100.46156781
0.24000000000000002,100.45149628
0.25,100.44142475
0.26,100.43135322
0.27,100.42128169
0.28,100.41121016
0.29000000000000004,100.40113863
0.30000000000000004,100.3910671
0.31,100.38099557
0.32,100.37092404
0.33,100.36085251
0.34,100.35078098
0.35000000000000003,100.34070945
0.36,100.33063792
0.37,100.32056639
0.38,100.31049486
0.39,100.30042333
0.4,100.2903518
0.41000000000000003,100.28028027
0.42000000000000004,100.27020874
0.43,100.26013721
0.44,100.25006568
0.45,100.23999415
0.46,100.22992262
0.47000000000000003,100.21985109
0.48000000000000004,100.20977956
0.49,100.19970803
0.5,100.1896365
0.51,100.17956497
0.52,100.16949344
0.53,100.15942190999999
0.54,100.14935038
0.55,100.13927885
0.56,100.12920731999999
0.5700000000000001,100.11913579
0.5800000000000001,100.10906426
0.5900000000000001,100.09899272999999
0.6000000000000001,100.0889212
0.6100000000000001,100.07884967
0.6200000000000001,100.06877813999999
0.6300000000000001,100.05870661
0.6400000000000001,100.04863508
0.6499999999999999,100.03856354999999
0.6599999999999999,100.02849202
0.6699999999999999,100.01842049
0.6799999999999999,100.00834895999999
0.69,99.99827743
0.7,99.9882059
0.71,99.97813436999999
0.72,99.96806284
0.73,99.95799131
0.74,99.94791977999999
0.75,99.93784825
0.76,99.92777672
0.77,99.91770518999999
0.78,99.90763366
0.79,99.89756213
0.8,99.88749059999999
0.81,99.87741907
0.8200000000000001,99.86734754
0.8300000000000001,99.85727600999999
0.8400000000000001,99.84720448
0.8500000000000001,99.83713295
0.8600000000000001,99.82706141999999
0.8700000000000001,99.81698989
0.8800000000000001,99.80691836
0.8900000000000001,99.79684682999999
0.9000000000000001,99.7867753
0.9099999999999999,99.77670377
0.9199999999999999,99.76663223999999
0.9299999999999999,99.75656071
0.94,99.74648918
0.95,99.73641764999999
0.96,99.72634612
0.97,99.71627459
0.98,99.706203059999993
0.99,99.69613153
1,99.68606
1.01,99.67709377999999
1.02,99.66812756
1.03,99.65916134
1.04,99.65019511999999
1.05,99.6412289
1.06,99.63226268
1.07,99.62329645999999
1.08,99.61433024
1.09,99.60536402
1.1,99.59639779999999
1.11,99.58743158
1.12,99.57846536
1.1300000000000001,99.56949914
1.1400000000000001,99.56053292
1.1500000000000001,99.5515667
1.1600000000000001,99.54260048
1.1700000000000002,99.53363426
1.1800000000000002,99.52466804
1.1900000000000002,99.51570182
1.2000000000000002,99.5067356
1.2100000000000002,99.49776938
1.2200000000000002,99.48880316
1.23,99.47983694
1.24,99.47087072
1.25,99.4619045
1.26,99.45293828
1.27,99.44397206
1.28,99.43500584
1.29,99.42603962
1.3,99.41707339999999
1.31,99.40810718
1.32,99.39914096
1.33,99.39017474
1.34,99.38120852
1.35,99.3722423
1.36,99.36327608
1.37,99.35430986
1.3800000000000001,99.34534364
1.3900000000000001,99.33637742
1.4000000000000001,99.3274112
1.4100000000000001,99.31844498
1.4200000000000002,99.30947876
1.4300000000000002,99.30051254
1.4400000000000002,99.29154632
1.4500000000000002,99.2825801
1.4600000000000002,99.27361388
1.4700000000000002,99.26464766
1.48,99.25568144
1.49,99.24671522
1.5,99.23774900000001
1.51,99.22878278
1.52,99.21981656
1.53,99.21085034000001
1.54,99.20188412
1.55,99.1929179
1.56,99.18395168
1.57,99.17498546
1.58,99.16601924
1.59,99.15705302
1.6,99.1480868
1.61,99.13912058
1.62,99.13015436
1.6300000000000001,99.12118814
1.6400000000000001,99.11222192
1.6500000000000001,99.1032557
1.6600000000000001,99.09428948
1.6700000000000002,99.08532326
1.6800000000000002,99.07635704
1.6900000000000002,99.06739082
1.7000000000000002,99.0584246
1.7100000000000002,99.04945838
1.7200000000000002,99.04049216
1.7300000000000002,99.03152594000001
1.74,99.02255972
1.75,99.0135935
1.76,99.00462728000001
1.77,98.99566106
1.78,98.98669484
1.79,98.97772862000001
1.8,98.9687624
1.81,98.95979618
1.82,98.95082996000001
1.83,98.94186374
1.84,98.93289752
1.85,98.9239313
1.86,98.91496508
1.87,98.90599886
1.8800000000000001,98.89703264
1.8900000000000001,98.88806642
1.9000000000000001,98.8791002
1.9100000000000001,98.87013398
1.9200000000000002,98.86116776
1.9300000000000002,98.85220154000001
1.9400000000000002,98.84323532
1.9500000000000002,98.8342691
1.9600000000000002,98.82530288000001
1.9700000000000002,98.81633666
1.9800000000000002,98.80737044
1.99,98.79840422000001
2,98.789438
2.01,98.77996039
2.02,98.77048278000001
2.03,98.76100517
2.04,98.75152756
2.05,98.74204995000001
2.06,98.73257234
2.07,98.72309473
2.08,98.71361712000001
2.09,98.70413951
2.1,98.6946619
2.11,98.68518429000001
2.1199999999999997,98.67570668
2.13,98.66622907
2.1399999999999997,98.65675146000001
2.15,98.64727385
2.1599999999999997,98.63779624
2.17,98.62831863000001
2.1799999999999997,98.61884102
2.19,98.60936341
2.1999999999999997,98.59988580000001
2.21,98.59040819
2.2199999999999998,98.58093058
2.23,98.57145297000001
2.2399999999999998,98.56197536
2.25,98.55249775
2.26,98.54302014000001
2.27,98.53354253
2.28,98.52406492
2.29,98.51458731000001
2.3,98.5051097
2.31,98.49563209
2.32,98.48615448000001
2.33,98.47667687
2.34,98.46719926
