depth_below_ground_surface,phase_number,mean_d13C_per_phase
0,Phase 7,-27.80573015873016
0.9643762999999997,Phase 5,-26.03833333333333
1.4424186943746722,Phase 4,-28.234333333333332
1.7117071611721606,Phase 3b,-27.431384615384612
1.8279815332075582,Phase 3a,-27.668756756756757
2.011834017857144,Phase 2,-28.086666666666666
